%trk_id,qual,P_rng1,P_AZ,P_EL,P_HGT,P_TIME,M_rng1,M_AZ,M_EL,M_TIME,F_X,F_Y,F_Z,F_VX,F_VY,F_VZ,F_AX,F_AY,F_AZ,rng1_MIN,rng1_MAX,AZ_MIN,AZ_MAX,EL_MIN,EL_MAX,F_TIM
57,14,26.306578,320.923584,0.116006,0.053262,54430.99609,26.308243,321.053864,0.062838,54430.98828,-16550.0625,20449.80078,35.816231,19.287247,9.909836,-2.090005,0,0,0,24.906706,27.716705,319.981873,321.981873,0,2.807067,54430.98828
57,14,26.305582,321.039825,0.1,0.045912,54431.48828,26.306145,320.988129,0.01,54431.48047,-16553.86133,20444.4043,13.199871,13.908154,5.76707,-10.720427,0,0,0,24.914516,27.701078,320.016693,322.016693,0,2.578004,54431.48047
57,14,26.303837,321.018585,0.017077,0.00784,54431.98047,26.304981,321.044159,0.01,54431.98047,-16540.90625,20453.20703,5.517655,16.309961,8.13607,-11.649429,0,0,0,24.914516,27.701078,320.016693,322.016693,0,2.578004,54431.98047
57,13,25.398365,339.891235,2.169282,0.961381,54819.22266,26.606001,340.557983,1.516204,54819.16797,-8730.869141,23882.91211,951.084839,0,0,0,0,0,0,23.148365,27.648365,334.815491,344.96698,0,7.245022,54819.16797
57,14,27.240015,339.627197,0.1,0.047543,54911.98047,27.251423,339.229919,0.188172,54911.98047,-9594.253906,25501.78711,48.700218,261.978149,105.636238,-16.448711,0,0,0,25.835749,28.637936,337.954285,339.954285,0,2.552298,54911.98047
57,14,27.255474,339.916962,0.071836,0.034172,54912.86328,27.237623,339.475372,0.241362,54912.86328,-9476.251953,25542.58398,83.753532,215.078262,83.361481,3.387676,0,0,0,25.818457,28.675331,338.382751,340.382751,0,2.602409,54912.86328
57,14,27.245821,339.887756,0.179689,0.085447,54913.36328,27.221443,339.165955,0.163325,54913.38672,-9592.384766,25482.50391,79.837418,125.594635,42.612782,1.143239,0,0,0,25.699232,28.790482,338.774078,340.774078,0,2.678026,54913.38672
57,14,27.226162,339.511627,0.169216,0.080409,54913.88672,27.251423,339.458984,0.150453,54913.85547,-9549.442383,25513.03711,74.965096,117.651642,46.307705,-1.03478,0,0,0,25.699232,28.790482,338.774078,340.774078,0,2.678026,54913.85547
57,14,25.683487,339.778687,0.1,0.044826,54927.96875,25.68413,339.731445,0.0967,54927.96094,-8891.768555,24095.63477,21.458237,53.565907,10.725132,-53.630775,0,0,0,24.248165,27.136292,338.644318,340.644318,0,2.594878,54927.96094
57,14,25.679682,339.805145,0.1,0.044819,54928.46094,25.692623,339.820435,0.01,54928.46094,-8863.583008,24111.38867,1.671688,54.127117,14.886831,-50.818596,0,0,0,24.235949,27.131887,338.744934,340.744934,0,2.547869,54928.46094
